2020-12-03 00:27:18.574 [main] INFO  com.ltz.news.ArticleApplication - No active profile set, falling back to default profiles: default
2020-12-03 00:27:20.534 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-12-03 00:27:20.536 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2020-12-03 00:27:20.645 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 98ms. Found 0 MongoDB repository interfaces.
2020-12-03 00:27:20.667 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-12-03 00:27:20.669 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-12-03 00:27:20.750 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 61ms. Found 0 Redis repository interfaces.
2020-12-03 00:27:21.153 [main] WARN  o.m.s.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.ltz.news]' package. Please check your configuration.
2020-12-03 00:27:21.308 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=5caa5558-3380-3f10-941c-c1a6a56bf58a
2020-12-03 00:27:22.356 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8001 (http)
2020-12-03 00:27:22.379 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8001"]
2020-12-03 00:27:22.380 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2020-12-03 00:27:22.380 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.36]
2020-12-03 00:27:22.720 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-12-03 00:27:22.720 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 4111 ms
2020-12-03 00:27:28.490 [main] INFO  o.s.cloud.commons.util.InetUtils - Cannot determine local hostname
2020-12-03 00:27:29.055 [main] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2020-12-03 00:27:29.147 [main] WARN  c.n.c.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2020-12-03 00:27:29.147 [main] INFO  c.n.c.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-12-03 00:27:29.154 [main] WARN  c.n.c.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2020-12-03 00:27:29.155 [main] INFO  c.n.c.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-12-03 00:27:29.356 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-12-03 00:27:29.541 [main] INFO  t.m.m.a.MapperCacheDisabler - Clear tk.mybatis.mapper.util.MsUtil CLASS_CACHE cache.
2020-12-03 00:27:29.542 [main] INFO  t.m.m.a.MapperCacheDisabler - Clear tk.mybatis.mapper.genid.GenIdUtil CACHE cache.
2020-12-03 00:27:29.543 [main] INFO  t.m.m.a.MapperCacheDisabler - Clear tk.mybatis.mapper.version.VersionUtil CACHE cache.
2020-12-03 00:27:29.543 [main] INFO  t.m.m.a.MapperCacheDisabler - Clear EntityHelper entityTableMap cache.
2020-12-03 00:27:30.277 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Context refreshed
2020-12-03 00:27:30.305 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2020-12-03 00:27:30.377 [main] INFO  s.d.s.w.s.ApiListingReferenceScanner - Scanning for api listing references
2020-12-03 00:27:30.697 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8001"]
2020-12-03 00:27:30.738 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8001 (http) with context path ''
2020-12-03 00:27:32.837 [main] INFO  o.s.cloud.commons.util.InetUtils - Cannot determine local hostname
2020-12-03 00:27:32.840 [main] INFO  com.ltz.news.ArticleApplication - Started ArticleApplication in 21.149 seconds (JVM running for 23.408)
2020-12-03 00:28:23.849 [http-nio-8001-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-12-03 00:28:23.850 [http-nio-8001-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-12-03 00:28:23.859 [http-nio-8001-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 9 ms
2020-12-03 00:28:23.920 [http-nio-8001-exec-2] INFO  com.ltz.news.aspect.ServiceLogAspect - ==== 开始执行 class com.ltz.news.service.impl.ArticlePortalServiceImpl.queryHotList====
2020-12-03 00:28:23.923 [http-nio-8001-exec-1] INFO  com.ltz.news.aspect.ServiceLogAspect - ==== 开始执行 class com.ltz.news.service.impl.ArticlePortalServiceImpl.queryIndexArticleList====
2020-12-03 00:28:24.211 [http-nio-8001-exec-2] INFO  com.zaxxer.hikari.HikariDataSource - DateSourceHikariCP - Starting...
2020-12-03 00:28:24.414 [http-nio-8001-exec-2] INFO  com.zaxxer.hikari.HikariDataSource - DateSourceHikariCP - Start completed.
2020-12-03 00:28:24.476 [http-nio-8001-exec-2] INFO  com.ltz.news.aspect.ServiceLogAspect - 当前执行耗时：556
2020-12-03 00:28:24.479 [http-nio-8001-exec-1] INFO  com.ltz.news.aspect.ServiceLogAspect - 当前执行耗时：556
2020-12-03 00:28:24.654 [http-nio-8001-exec-1] INFO  io.lettuce.core.EpollProvider - Starting without optional epoll library
2020-12-03 00:28:24.656 [http-nio-8001-exec-1] INFO  io.lettuce.core.KqueueProvider - Starting without optional kqueue library
2020-12-03 00:28:26.560 [http-nio-8001-exec-3] INFO  com.ltz.news.aspect.ServiceLogAspect - ==== 开始执行 class com.ltz.news.service.impl.ArticlePortalServiceImpl.queryIndexArticleList====
